19981207.0700.inter_fm_dga               19981207_0700_0800_inter_fm_dga
20110913.1328.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2011-09-13_132800
20110913.1759.BFMTV_BFMStory             BFMTV_BFMStory_2011-09-13_175900
20110914.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-09-14_065040
20110915.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-09-15_065040
20110915.1859.LCP_PileEtFace             LCP_PileEtFace_2011-09-15_185900
20110916.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-09-16_065040
20110916.1923.LCP_EntreLesLignes         LCP_EntreLesLignes_2011-09-16_192300
20110920.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-09-20_065040
20110921.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-09-21_065040
20110922.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-09-22_065040
20110923.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-09-23_065040
20110923.0957.LCP_PileEtFace             LCP_PileEtFace_2011-09-23_095700
20110927.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-09-27_065040
20110927.2327.LCP_TopQuestions           LCP_TopQuestions_2011-09-27_232700
20110928.0750.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-09-28_075000
20110929.0750.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-09-29_075000
20110930.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-09-30_065040
20110930.1457.LCP_PileEtFace             LCP_PileEtFace_2011-09-30_145700
20111001.1233.LCP_EntreLesLignes         LCP_EntreLesLignes_2011-10-01_123300
20111003.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-10-03_065040
20111004.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-10-04_065040
20111004.2012.LCP_TopQuestions           LCP_TopQuestions_2011-10-04_201200
20111005.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-10-05_065040
20111005.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2011-10-05_132700
20111006.1927.LCP_PileEtFace             LCP_PileEtFace_2011-10-06_192700
20111007.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-10-07_065040
20111007.1927.LCP_EntreLesLignes         LCP_EntreLesLignes_2011-10-07_192700
20111011.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-10-11_065040
20111011.2327.LCP_TopQuestions           LCP_TopQuestions_2011-10-11_232700
20111013.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-10-13_065040
20111013.2046.LCP_CaVousRegarde          LCP_CaVousRegarde_2011-10-13_204600
20111014.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2011-10-14_132700
20111014.1758.BFMTV_BFMStory             BFMTV_BFMStory_2011-10-14_175800
20111015.0327.LCP_PileEtFace             LCP_PileEtFace_2011-10-15_032700
20111017.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2011-10-17_132700
20111017.1758.BFMTV_BFMStory             BFMTV_BFMStory_2011-10-17_175800
20111017.2027.LCP_CaVousRegarde          LCP_CaVousRegarde_2011-10-17_202700
20111018.0327.LCP_EntreLesLignes         LCP_EntreLesLignes_2011-10-18_032700
20111018.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-10-18_065040
20111018.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2011-10-18_132700
20111018.2327.LCP_TopQuestions           LCP_TopQuestions_2011-10-18_232700
20111019.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-10-19_065040
20111019.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2011-10-19_132700
20111020.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-10-20_065040
20111020.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2011-10-20_132700
20111021.0750.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-10-21_075000
20111024.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-10-24_065040
20111025.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-10-25_065040
20111025.2327.LCP_TopQuestions           LCP_TopQuestions_2011-10-25_232700
20111026.0750.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-10-26_075000
20111027.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-10-27_065040
20111028.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-10-28_065040
20111029.0326.LCP_PileEtFace             LCP_PileEtFace_2011-10-29_032600
20111031.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-10-31_065040
20111101.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-11-01_065040
20111102.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-11-02_065040
20111102.1758.BFMTV_BFMStory             BFMTV_BFMStory_2011-11-02_175800
20111102.2327.LCP_TopQuestions           LCP_TopQuestions_2011-11-02_232700
20111103.0750.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-11-03_075000
20111103.1927.LCP_PileEtFace             LCP_PileEtFace_2011-11-03_192700
20111104.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-11-04_065040
20111107.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-11-07_065040
20111108.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-11-08_065040
20111108.2327.LCP_TopQuestions           LCP_TopQuestions_2011-11-08_232700
20111109.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-11-09_065040
20111110.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-11-10_065040
20111110.1926.LCP_PileEtFace             LCP_PileEtFace_2011-11-10_192600
20111111.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-11-11_065040
20111115.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-11-15_065040
20111116.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-11-16_065040
20111118.1927.LCP_EntreLesLignes         LCP_EntreLesLignes_2011-11-18_192700
20111119.0857.LCP_PileEtFace             LCP_PileEtFace_2011-11-19_085700
20111121.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-11-21_065040
20111122.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-11-22_065040
20111123.0750.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-11-23_075000
20111124.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-11-24_065040
20111124.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2011-11-24_132700
20111124.1927.LCP_PileEtFace             LCP_PileEtFace_2011-11-24_192700
20111128.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-11-28_065040
20111128.1758.BFMTV_BFMStory             BFMTV_BFMStory_2011-11-28_175800
20111129.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-11-29_065040
20111129.1758.BFMTV_BFMStory             BFMTV_BFMStory_2011-11-29_175800
20111129.2047.LCP_CaVousRegarde          LCP_CaVousRegarde_2011-11-29_204700
20111130.0750.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-11-30_075000
20111130.2012.LCP_TopQuestions           LCP_TopQuestions_2011-11-30_201200
20111201.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-12-01_065040
20111201.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2011-12-01_132700
20111201.1927.LCP_PileEtFace             LCP_PileEtFace_2011-12-01_192700
20111202.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-12-02_065040
20111206.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2011-12-06_132700
20111206.1758.BFMTV_BFMStory             BFMTV_BFMStory_2011-12-06_175800
20111207.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-12-07_065040
20111207.2012.LCP_TopQuestions           LCP_TopQuestions_2011-12-07_201200
20111208.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-12-08_065040
20111209.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-12-09_065040
20111212.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-12-12_065040
20111212.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2011-12-12_132700
20111212.1758.BFMTV_BFMStory             BFMTV_BFMStory_2011-12-12_175800
20111213.0750.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-12-13_075000
20111213.2327.LCP_TopQuestions           LCP_TopQuestions_2011-12-13_232700
20111214.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-12-14_065040
20111214.2327.LCP_TopQuestions           LCP_TopQuestions_2011-12-14_232700
20111216.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-12-16_065040
20111216.1927.LCP_EntreLesLignes         LCP_EntreLesLignes_2011-12-16_192700
20111220.0650.BFMTV_PlaneteShowbiz       BFMTV_PlaneteShowbiz_2011-12-20_065040
20111220.2046.LCP_CaVousRegarde          LCP_CaVousRegarde_2011-12-20_204600
20111220.2327.LCP_TopQuestions           LCP_TopQuestions_2011-12-20_232700
20111221.2326.LCP_TopQuestions           LCP_TopQuestions_2011-12-21_232600
20120110.1758.BFMTV_BFMStory             BFMTV_BFMStory_2012-01-10_175800
20120110.2332.LCP_TopQuestions           LCP_TopQuestions_2012-01-10_233200
20120111.2327.LCP_TopQuestions           LCP_TopQuestions_2012-01-11_232700
20120112.1927.LCP_PileEtFace             LCP_PileEtFace_2012-01-12_192700
20120113.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-01-13_065040
20120116.0750.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-01-16_075000
20120117.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-01-17_065040
20120117.2327.LCP_TopQuestions           LCP_TopQuestions_2012-01-17_232700
20120118.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-01-18_065040
20120118.2327.LCP_TopQuestions           LCP_TopQuestions_2012-01-18_232700
20120119.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-01-19_065040
20120119.1927.LCP_PileEtFace             LCP_PileEtFace_2012-01-19_192700
20120119.2047.LCP_CaVousRegarde          LCP_CaVousRegarde_2012-01-19_204700
20120123.1758.BFMTV_BFMStory             BFMTV_BFMStory_2012-01-23_175800
20120124.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2012-01-24_132700
20120125.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2012-01-25_132700
20120125.2047.LCP_CaVousRegarde          LCP_CaVousRegarde_2012-01-25_204700
20120125.2327.LCP_TopQuestions           LCP_TopQuestions_2012-01-25_232700
20120126.1927.LCP_PileEtFace             LCP_PileEtFace_2012-01-26_192700
20120127.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2012-01-27_132700
20120127.1927.LCP_EntreLesLignes         LCP_EntreLesLignes_2012-01-27_192700
20120130.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2012-01-30_132700
20120131.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2012-01-31_132700
20120213.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2012-02-13_132700
20120214.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-02-14_065040
20120214.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2012-02-14_132700
20120214.1758.BFMTV_BFMStory             BFMTV_BFMStory_2012-02-14_175800
20120214.2322.LCP_TopQuestions           LCP_TopQuestions_2012-02-14_232200
20120215.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-02-15_065040
20120215.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2012-02-15_132700
20120216.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-02-16_065040
20120216.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2012-02-16_132700
20120217.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-02-17_065040
20120217.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2012-02-17_132700
20120220.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-02-20_065040
20120220.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2012-02-20_132700
20120220.1758.BFMTV_BFMStory             BFMTV_BFMStory_2012-02-20_175800
20120221.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-02-21_065040
20120222.2327.LCP_TopQuestions           LCP_TopQuestions_2012-02-22_232700
20120223.0750.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-02-23_075000
20120224.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-02-24_065040
20120224.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2012-02-24_132700
20120225.0327.LCP_PileEtFace             LCP_PileEtFace_2012-02-25_032700
20120228.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-02-28_065040
20120229.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-02-29_065040
20120301.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-03-01_065040
20120402.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-04-02_065040
20120402.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2012-04-02_132700
20120403.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-04-03_065040
20120403.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2012-04-03_132700
20120404.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-04-04_065040
20120404.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2012-04-04_132700
20120405.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-04-05_065040
20120405.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2012-04-05_132700
20120406.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-04-06_065040
20120411.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-04-11_065040
20120411.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2012-04-11_132700
20120412.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-04-12_065040
20120412.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2012-04-12_132700
20120413.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-04-13_065040
20120413.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2012-04-13_132700
20120416.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-04-16_065040
20120417.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2012-04-17_132700
20120418.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2012-04-18_132700
20120419.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2012-04-19_132700
20120503.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2012-05-03_132700
20120504.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-05-04_065040
20120508.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-05-08_065040
20120509.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-05-09_065040
20120510.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-05-10_065040
20120510.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2012-05-10_132700
20120510.1927.LCP_PileEtFace             LCP_PileEtFace_2012-05-10_192700
20120511.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-05-11_065040
20120511.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2012-05-11_132700
20120511.1922.LCP_EntreLesLignes         LCP_EntreLesLignes_2012-05-11_192200
20120514.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-05-14_065040
20120514.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2012-05-14_132700
20120515.1327.LCP_LCPInfo13h30           LCP_LCPInfo13h30_2012-05-15_132700
20120705.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-07-05_065040
20120705.1758.BFMTV_BFMStory             BFMTV_BFMStory_2012-07-05_175800
20120705.1927.LCP_PileEtFace             LCP_PileEtFace_2012-07-05_192700
20120706.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-07-06_065040
20120709.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-07-09_065040
20120716.1758.BFMTV_BFMStory             BFMTV_BFMStory_2012-07-16_175800
20120717.1758.BFMTV_BFMStory             BFMTV_BFMStory_2012-07-17_175800
20120718.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-07-18_065040
20120718.1758.BFMTV_BFMStory             BFMTV_BFMStory_2012-07-18_175800
20120719.1758.BFMTV_BFMStory             BFMTV_BFMStory_2012-07-19_175800
20120720.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-07-20_065040
20120720.1758.BFMTV_BFMStory             BFMTV_BFMStory_2012-07-20_175800
20120723.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-07-23_065040
20120723.1758.BFMTV_BFMStory             BFMTV_BFMStory_2012-07-23_175800
20120724.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-07-24_065040
20120724.1758.BFMTV_BFMStory             BFMTV_BFMStory_2012-07-24_175800
20120725.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-07-25_065040
20120726.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-07-26_065040
20120726.1758.BFMTV_BFMStory             BFMTV_BFMStory_2012-07-26_175800
20120727.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-07-27_065040
20120727.1758.BFMTV_BFMStory             BFMTV_BFMStory_2012-07-27_175800
20120729.1358.LCP_EntreLesLignes         LCP_EntreLesLignes_2012-07-29_135800
20120730.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-07-30_065040
20120731.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-07-31_065040
20120823.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-08-23_065040
20120824.1758.BFMTV_BFMStory             BFMTV_BFMStory_2012-08-24_175800
20120827.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-08-27_065040
20120828.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-08-28_065040
20120829.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-08-29_065040
20120911.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-09-11_065040
20120911.1755.BFMTV_BFMStory             BFMTV_BFMStory_2012-09-11_175500
20120911.2022.LCP_CaVousRegarde          LCP_CaVousRegarde_2012-09-11_202200
20120912.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-09-12_065040
20120914.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-09-14_064700
20120914.0827.LCP_CaVousRegarde          LCP_CaVousRegarde_2012-09-14_082700
20120917.1755.BFMTV_BFMStory             BFMTV_BFMStory_2012-09-17_175500
20120917.2045.LCP_CaVousRegarde          LCP_CaVousRegarde_2012-09-17_204500
20120918.1752.BFMTV_BFMStory             BFMTV_BFMStory_2012-09-18_175200
20120918.1903.BFMTV_RuthElkrief          BFMTV_RuthElkrief_2012-09-18_190340
20120918.2035.LCP_CaVousRegarde          LCP_CaVousRegarde_2012-09-18_203500
20120919.0025.LCP_CaVousRegarde          LCP_CaVousRegarde_2012-09-19_002500
20120919.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-09-19_064700
20120919.1755.BFMTV_BFMStory             BFMTV_BFMStory_2012-09-19_175500
20120919.1900.BFMTV_RuthElkrief          BFMTV_RuthElkrief_2012-09-19_190040
20120920.0025.LCP_CaVousRegarde          LCP_CaVousRegarde_2012-09-20_002500
20120920.1755.BFMTV_BFMStory             BFMTV_BFMStory_2012-09-20_175500
20120920.1900.BFMTV_RuthElkrief          BFMTV_RuthElkrief_2012-09-20_190040
20120921.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-09-21_064700
20120921.1900.BFMTV_RuthElkrief          BFMTV_RuthElkrief_2012-09-21_190040
20120921.2125.LCP_EntreLesLignes         LCP_EntreLesLignes_2012-09-21_212500
20120924.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-09-24_064700
20120924.2025.LCP_CaVousRegarde          LCP_CaVousRegarde_2012-09-24_202500
20120925.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-09-25_064700
20120925.2025.LCP_CaVousRegarde          LCP_CaVousRegarde_2012-09-25_202500
20120925.2324.LCP_TopQuestions           LCP_TopQuestions_2012-09-25_232400
20120926.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-09-26_064700
20120926.2025.LCP_CaVousRegarde          LCP_CaVousRegarde_2012-09-26_202500
20120927.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-09-27_064700
20120928.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-09-28_064700
20120928.2124.LCP_EntreLesLignes         LCP_EntreLesLignes_2012-09-28_212400
20120929.0855.LCP_PileEtFace             LCP_PileEtFace_2012-09-29_085500
20121002.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-10-02_064700
20121002.2325.LCP_TopQuestions           LCP_TopQuestions_2012-10-02_232500
20121003.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-10-03_064700
20121004.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-10-04_064700
20121004.1922.LCP_PileEtFace             LCP_PileEtFace_2012-10-04_192200
20121005.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-10-05_064700
20121005.2124.LCP_EntreLesLignes         LCP_EntreLesLignes_2012-10-05_212400
20121008.0125.LCP_PileEtFace             LCP_PileEtFace_2012-10-08_012500
20121008.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-10-08_064700
20121009.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-10-09_064700
20121012.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-10-12_064700
20121015.1425.LCP_PileEtFace             LCP_PileEtFace_2012-10-15_142500
20121016.0325.LCP_EntreLesLignes         LCP_EntreLesLignes_2012-10-16_032500
20121016.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-10-16_064700
20121016.2325.LCP_TopQuestions           LCP_TopQuestions_2012-10-16_232500
20121017.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-10-17_064700
20121018.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-10-18_064700
20121019.2120.LCP_EntreLesLignes         LCP_EntreLesLignes_2012-10-19_212000
20121020.0854.LCP_PileEtFace             LCP_PileEtFace_2012-10-20_085400
20121022.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-10-22_064700
20121023.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-10-23_064700
20121024.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-10-24_064700
20121025.1925.LCP_PileEtFace             LCP_PileEtFace_2012-10-25_192500
20121026.0125.LCP_PileEtFace             LCP_PileEtFace_2012-10-26_012500
20121026.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-10-26_064700
20121030.2325.LCP_TopQuestions           LCP_TopQuestions_2012-10-30_232500
20121108.1758.BFMTV_BFMStory             BFMTV_BFMStory_2012-11-08_175800
20121108.2325.LCP_TopQuestions           LCP_TopQuestions_2012-11-08_232500
20121109.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-11-09_064700
20121109.1758.BFMTV_BFMStory             BFMTV_BFMStory_2012-11-09_175800
20121112.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-11-12_064700
20121114.1758.BFMTV_BFMStory             BFMTV_BFMStory_2012-11-14_175800
20121115.1758.BFMTV_BFMStory             BFMTV_BFMStory_2012-11-15_175800
20121116.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-11-16_064700
20121117.0325.LCP_EntreLesLignes         LCP_EntreLesLignes_2012-11-17_032500
20121123.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-11-23_064700
20121124.0325.LCP_EntreLesLignes         LCP_EntreLesLignes_2012-11-24_032500
20121126.1355.LCP_LCPActu14h             LCP_LCPActu14h_2012-11-26_135500
20121127.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-11-27_064700
20121128.2325.LCP_TopQuestions           LCP_TopQuestions_2012-11-28_232500
20121129.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-11-29_064700
20121130.0125.LCP_PileEtFace             LCP_PileEtFace_2012-11-30_012500
20121204.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-12-04_064700
20121205.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-12-05_064700
20121206.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-12-06_065040
20121208.0125.LCP_PileEtFace             LCP_PileEtFace_2012-12-08_012500
20121208.0325.LCP_EntreLesLignes         LCP_EntreLesLignes_2012-12-08_032500
20121210.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-12-10_064700
20121211.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-12-11_064700
20121212.0650.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-12-12_065040
20121213.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-12-13_064700
20121217.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-12-17_064700
20121221.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2012-12-21_064700
20130103.0647.BFMTV_CultureEtVous        BFMTV_CultureEtVous_2013-01-03_064700
20130108.1354.LCP_LCPActu14h             LCP_LCPActu14h_2013-01-08_135400
20130109.1354.LCP_LCPActu14h             LCP_LCPActu14h_2013-01-09_135400
20130119.2124.LCP_EntreLesLignes         LCP_EntreLesLignes_2013-01-19_212400
20130130.2326.LCP_TopQuestions           LCP_TopQuestions_2013-01-30_232600
20130302.2124.LCP_EntreLesLignes         LCP_EntreLesLignes_2013-03-02_212400
20130316.2124.LCP_EntreLesLignes         LCP_EntreLesLignes_2013-03-16_212400
20130424.2326.LCP_TopQuestions           LCP_TopQuestions_2013-04-24_232600
